Free space: 717544/2097152 (34.22%)

bank	end	free
$00	$3b80	$0480
$01	$7ffc	$0004
$02	$7ff2	$000e
$03	$7fc6	$003a
$04	$7fbb	$0045
$05	$7fb6	$004a
$06	$7fff	$0001
$07	$7fff	$0001
$08	$7ff1	$000f
$09	$7fe0	$0020
$0a	$7fa4	$005c
$0b	$7f7f	$0081
$0c	$7fec	$0014
$0d	$7f94	$006c
$0e	$7f54	$00ac
$0f	$7f87	$0079
$10	$7ed9	$0127
$11	$7eff	$0101
$12	$7ef1	$010f
$13	$7f46	$00ba
$14	$7f73	$008d
$15	$7fee	$0012
$16	$7f02	$00fe
$17	$7fe1	$001f
$18	$7fd5	$002b
$19	$7fbc	$0044
$1a	$7fa5	$005b
$1b	$7f32	$00ce
$1c	$7f24	$00dc
$1d	$7f8d	$0073
$1e	$7f8a	$0076
$1f	$7f80	$0080
$20	$7f9d	$0063
$21	$7f18	$00e8
$22	$7f81	$007f
$23	$7fde	$0022
$24	$7fda	$0026
$25	$7fec	$0014
$26	$7f80	$0080
$27	$7f80	$0080
$28	$7f67	$0099
$29	$7f60	$00a0
$2a	$7f40	$00c0
$2b	$7f00	$0100
$2c	$7ed0	$0130
$2d	$7fad	$0053
$2e	$7fa7	$0059
$2f	$7dc9	$0237
$30	$7ff9	$0007
$31	$7f1b	$00e5
$32	$7fc0	$0040
$33	$7d49	$02b7
$34	$7f7e	$0082
$35	$7fc3	$003d
$36	$7f39	$00c7
$37	$7e24	$01dc
$38	$7f5b	$00a5
$39	$7d5c	$02a4
$3a	$7f31	$00cf
$3b	$7fb4	$004c
$3c	$7d3f	$02c1
$3d	$7ed4	$012c
$3e	$7f24	$00dc
$3f	$7fdf	$0021
$40	$7f8e	$0072
$41	$7f97	$0069
$42	$7f89	$0077
$43	$7f85	$007b
$44	$7fde	$0022
$45	$7d99	$0267
$46	$7faf	$0051
$47	$7ff6	$000a
$48	$7dc9	$0237
$49	$7f6f	$0091
$4a	$7fa2	$005e
$4b	$7f94	$006c
$4c	$7f33	$00cd
$4d	$7f32	$00ce
$4e	$7f95	$006b
$4f	$7f95	$006b
$50	$7c16	$03ea
$51	$7eda	$0126
$52	$7dfa	$0206
$53	$4b57	$34a9
$54	$4000	$4000
$55	$4000	$4000
$56	$4000	$4000
$57	$4000	$4000
$58	$4000	$4000
$59	$4000	$4000
$5a	$4000	$4000
$5b	$4842	$37be
$5c	$4000	$4000
$5d	$4000	$4000
$5e	$401f	$3fe1
$5f	$4000	$4000
$60	$4000	$4000
$61	$4000	$4000
$62	$4000	$4000
$63	$4000	$4000
$64	$4000	$4000
$65	$4000	$4000
$66	$4000	$4000
$67	$4000	$4000
$68	$4000	$4000
$69	$4000	$4000
$6a	$4000	$4000
$6b	$4000	$4000
$6c	$494c	$36b4
$6d	$4000	$4000
$6e	$4000	$4000
$6f	$4cc0	$3340
$70	$5ad0	$2530
$71	$51d6	$2e2a
$72	$6d21	$12df
$73	$4000	$4000
$74	$4000	$4000
$75	$4000	$4000
$76	$4000	$4000
$77	$47b4	$384c
$78	$4000	$4000
$79	$4000	$4000
$7a	$4000	$4000
$7b	$4000	$4000
$7c	$4000	$4000
$7d	$4000	$4000
$7e	$4000	$4000
$7f	$4000	$4000
